,,,,,,,ATTACK,,SET,,,SERVE,,DIG,,BLOCK,,,,,,PTS
#,Player,SP,K,K/S,E,TA,PCT,A,A/S,SA,SE,SA/S,RE,DIG,DIG/S,BS,BA,BLK,BLK/S,BE,BHE,PTS
1,"Ward, Trinity",38,0,0.00,0,0,.000,0,0.00,6,15,0.16,0,21,0.55,0,0,0,0.00,0,0,6.0
2,"Sarafa, Ava",79,2,0.03,2,13,.000,136,1.72,10,20,0.13,0,57,0.72,0,10,10,0.13,4,0,17.0
5,"Dailey, Jordyn",52,42,0.81,17,117,.214,2,0.04,0,0,0.00,0,19,0.37,1,31,32,0.62,1,0,58.5
6,"O'Brien, Kassie",95,42,0.44,18,121,.198,1019,10.73,25,31,0.26,0,192,2.02,4,73,77,0.81,4,0,107.5
7,"Hudson, Eva",98,446,4.55,91,1129,.314,17,0.17,13,20,0.13,10,229,2.34,10,32,42,0.43,2,0,485.0
8,"Bultema, Brooke",55,88,1.60,36,192,.271,1,0.02,0,0,0.00,0,10,0.18,3,51,54,0.98,5,0,116.5
9,"Watson, Georgia",3,6,2.00,0,12,.500,1,0.33,0,1,0.00,0,1,0.33,0,2,2,0.67,1,0,7.0
10,"Washington, Kennedy",52,75,1.44,30,178,.253,3,0.06,0,0,0.00,2,17,0.33,5,45,50,0.96,4,0,102.5
11,"Berezowitz, Molly",98,2,0.02,0,3,.667,17,0.17,15,20,0.15,9,213,2.17,0,0,0,0.00,0,0,17.0
12,"Tuozzo, Molly",98,0,0.00,2,5,-.400,123,1.26,29,41,0.30,17,379,3.87,0,0,0,0.00,0,0,29.0
13,"Benjamin, Hannah",5,3,0.60,0,7,.429,0,0.00,0,0,0.00,0,0,0.00,0,2,2,0.40,0,0,4.0
15,"Carr, Lizzie",93,184,1.98,41,390,.367,7,0.08,0,0,0.00,0,28,0.30,13,105,118,1.27,4,0,249.5
17,"DeLeye, Brooklyn",98,451,4.60,150,1088,.277,19,0.19,20,54,0.20,21,218,2.22,7,25,32,0.33,4,0,490.5
20,"Thigpen, Asia",69,106,1.54,46,261,.230,3,0.04,2,2,0.03,0,40,0.58,0,33,33,0.48,6,0,124.5
